Date,Price
2013-10-01,149.8
2013-11-01,845.3
2013-12-01,539.0
2014-01-01,592.3
2014-02-01,413.7
2014-03-01,335.1
2014-04-01,324.6
2014-05-01,457.0
2014-06-01,466.2
2014-07-01,436.4
2014-08-01,367.0
2014-09-01,306.9
2014-10-01,270.1
2014-11-01,300.7
2014-12-01,265.0
2015-01-01,193.5
2015-02-01,220.9
2015-03-01,228.4
2015-04-01,210.3
2015-05-01,208.3
2015-06-01,237.0
2015-07-01,259.1
2015-08-01,206.2
2015-09-01,211.0
2015-10-01,280.1
2015-11-01,356.8
2015-12-01,396.3
2016-01-01,343.7
2016-02-01,397.1
2016-03-01,367.4
2016-04-01,390.7
2016-05-01,477.5
2016-06-01,607.4
2016-07-01,554.9
2016-08-01,512.9
2016-09-01,545.7
2016-10-01,633.5
2016-11-01,700.3
2016-12-01,913.5
2017-01-01,900.6
2017-02-01,1117.9
2017-03-01,1007.0
2017-04-01,1224.0
2017-05-01,2048.0
2017-06-01,2142.9
2017-07-01,2469.8
2017-08-01,3980.0
2017-09-01,3659.0
2017-10-01,5535.0
2017-11-01,8462.0
2017-12-01,11993.6
2018-01-01,8137.2
2018-02-01,8430.0
2018-03-01,5615.0
2018-04-01,7640.8
2018-05-01,6399.9
2018-06-01,5460.1
2018-07-01,6600.6
2018-08-01,6031.2
2018-09-01,5687.0
2018-10-01,5579.0
2018-11-01,3515.2
2018-12-01,3235.4
2019-01-01,2978.7
2019-02-01,3340.7
2019-03-01,3646.2
2019-04-01,4701.6
2019-05-01,7677.8
2019-06-01,9452.5
2019-07-01,9100.4
2019-08-01,8761.3
2019-09-01,7619.0
2019-10-01,8208.1
2019-11-01,6867.6
2019-12-01,6397.4
2020-01-01,8414.0
2020-02-01,7736.9
2020-03-01,5835.5
2020-04-01,7903.9
2020-05-01,8508.2
2020-06-01,8139.5
2020-07-01,9636.5
2020-08-01,9780.5
2020-09-01,9189.9
2020-10-01,11847.6
2020-11-01,16424.1
2020-12-01,23631.3
2021-01-01,27352.0
2021-02-01,37388.6
2021-03-01,50008.3
2021-04-01,47965.5
2021-05-01,30504.6
2021-06-01,29560.1
2021-07-01,34904.2
2021-08-01,39915.0
2021-09-01,37862.1
2021-10-01,53112.2
2021-11-01,50300.0
2021-12-01,40660.3
2022-01-01,34295.8
2022-02-01,38496.0
2022-03-01,41095.8
2022-04-01,35759.3
2022-05-01,29590.4
2022-06-01,19026.0
2022-07-01,22840.5
2022-08-01,19975.4
2022-09-01,19818.8
2022-10-01,20735.0
2022-11-01,16475.1
2022-12-01,15420.9
2023-01-01,21296.5
2023-02-01,21874.0
2023-03-01,26266.6
2023-04-01,26543.1
2023-05-01,25466.0
2023-06-01,27901.6
2023-07-01,26531.8
2023-08-01,23897.9
2023-09-01,25506.9
2023-10-01,32767.9
2023-11-01,34645.6
2023-12-01,38397.0
2024-01-01,39405.7
2024-02-01,56565.9
2024-03-01,66129.9
2024-04-01,56833.5
2024-05-01,62241.8
2024-06-01,58393.0
2024-07-01,59728.2
2024-08-01,53380.0
2024-09-01,56874.6
2024-10-01,64531.9
2024-11-01,91134.5
2024-12-01,90168.1
2025-01-01,98888.8
2025-02-01,81334.0
2025-03-01,76292.4
2025-04-01,83202.1
2025-05-01,92278.0
2025-06-01,91358.6
2025-07-01,101384.8
2025-08-01,92600.0
2025-09-01,97190.7
2025-10-01,94201.1
2025-11-01,95247.3
