geo_cod,geo_dsg,geo_nivel,period_date,valor_eur_m2,source
PT,Portugal,1,2011-01-31,877,avaliacao_bancaria
PT,Portugal,1,2011-02-28,887,avaliacao_bancaria
PT,Portugal,1,2011-03-31,898,avaliacao_bancaria
PT,Portugal,1,2011-04-30,900,avaliacao_bancaria
PT,Portugal,1,2011-05-31,889,avaliacao_bancaria
PT,Portugal,1,2011-06-30,872,avaliacao_bancaria
PT,Portugal,1,2011-07-31,859,avaliacao_bancaria
PT,Portugal,1,2011-08-31,852,avaliacao_bancaria
PT,Portugal,1,2011-09-30,844,avaliacao_bancaria
PT,Portugal,1,2011-10-31,833,avaliacao_bancaria
PT,Portugal,1,2011-11-30,829,avaliacao_bancaria
PT,Portugal,1,2011-12-31,818,avaliacao_bancaria
PT,Portugal,1,2012-01-31,809,avaliacao_bancaria
PT,Portugal,1,2012-02-28,810,avaliacao_bancaria
PT,Portugal,1,2012-03-31,811,avaliacao_bancaria
PT,Portugal,1,2012-04-30,814,avaliacao_bancaria
PT,Portugal,1,2012-05-31,800,avaliacao_bancaria
PT,Portugal,1,2012-06-30,791,avaliacao_bancaria
PT,Portugal,1,2012-07-31,787,avaliacao_bancaria
PT,Portugal,1,2012-08-31,784,avaliacao_bancaria
PT,Portugal,1,2012-09-30,784,avaliacao_bancaria
PT,Portugal,1,2012-10-31,778,avaliacao_bancaria
PT,Portugal,1,2012-11-30,774,avaliacao_bancaria
PT,Portugal,1,2012-12-31,770,avaliacao_bancaria
PT,Portugal,1,2013-01-31,759,avaliacao_bancaria
PT,Portugal,1,2013-02-28,746,avaliacao_bancaria
PT,Portugal,1,2013-03-31,742,avaliacao_bancaria
PT,Portugal,1,2013-04-30,748,avaliacao_bancaria
PT,Portugal,1,2013-05-31,758,avaliacao_bancaria
PT,Portugal,1,2013-06-30,764,avaliacao_bancaria
PT,Portugal,1,2013-07-31,759,avaliacao_bancaria
PT,Portugal,1,2013-08-31,761,avaliacao_bancaria
PT,Portugal,1,2013-09-30,763,avaliacao_bancaria
PT,Portugal,1,2013-10-31,765,avaliacao_bancaria
PT,Portugal,1,2013-11-30,762,avaliacao_bancaria
PT,Portugal,1,2013-12-31,763,avaliacao_bancaria
PT,Portugal,1,2014-01-31,760,avaliacao_bancaria
PT,Portugal,1,2014-02-28,752,avaliacao_bancaria
PT,Portugal,1,2014-03-31,739,avaliacao_bancaria
PT,Portugal,1,2014-04-30,736,avaliacao_bancaria
PT,Portugal,1,2014-05-31,738,avaliacao_bancaria
PT,Portugal,1,2014-06-30,748,avaliacao_bancaria
PT,Portugal,1,2014-07-31,763,avaliacao_bancaria
PT,Portugal,1,2014-08-31,775,avaliacao_bancaria
PT,Portugal,1,2014-09-30,772,avaliacao_bancaria
PT,Portugal,1,2014-10-31,756,avaliacao_bancaria
PT,Portugal,1,2014-11-30,751,avaliacao_bancaria
PT,Portugal,1,2014-12-31,751,avaliacao_bancaria
PT,Portugal,1,2015-01-31,756,avaliacao_bancaria
PT,Portugal,1,2015-02-28,756,avaliacao_bancaria
PT,Portugal,1,2015-03-31,756,avaliacao_bancaria
PT,Portugal,1,2015-04-30,760,avaliacao_bancaria
PT,Portugal,1,2015-05-31,768,avaliacao_bancaria
PT,Portugal,1,2015-06-30,769,avaliacao_bancaria
PT,Portugal,1,2015-07-31,776,avaliacao_bancaria
PT,Portugal,1,2015-08-31,774,avaliacao_bancaria
PT,Portugal,1,2015-09-30,777,avaliacao_bancaria
PT,Portugal,1,2015-10-31,780,avaliacao_bancaria
PT,Portugal,1,2015-11-30,783,avaliacao_bancaria
PT,Portugal,1,2015-12-31,788,avaliacao_bancaria
PT,Portugal,1,2016-01-31,785,avaliacao_bancaria
PT,Portugal,1,2016-02-28,785,avaliacao_bancaria
PT,Portugal,1,2016-03-31,788,avaliacao_bancaria
PT,Portugal,1,2016-04-30,794,avaliacao_bancaria
PT,Portugal,1,2016-05-31,800,avaliacao_bancaria
PT,Portugal,1,2016-06-30,803,avaliacao_bancaria
PT,Portugal,1,2016-07-31,806,avaliacao_bancaria
PT,Portugal,1,2016-08-31,814,avaliacao_bancaria
PT,Portugal,1,2016-09-30,816,avaliacao_bancaria
PT,Portugal,1,2016-10-31,820,avaliacao_bancaria
PT,Portugal,1,2016-11-30,826,avaliacao_bancaria
PT,Portugal,1,2016-12-31,833,avaliacao_bancaria
PT,Portugal,1,2017-01-31,841,avaliacao_bancaria
PT,Portugal,1,2017-02-28,847,avaliacao_bancaria
PT,Portugal,1,2017-03-31,849,avaliacao_bancaria
PT,Portugal,1,2017-04-30,854,avaliacao_bancaria
PT,Portugal,1,2017-05-31,857,avaliacao_bancaria
PT,Portugal,1,2017-06-30,860,avaliacao_bancaria
PT,Portugal,1,2017-07-31,861,avaliacao_bancaria
PT,Portugal,1,2017-08-31,868,avaliacao_bancaria
