geo_cod,geo_dsg,geo_nivel,periodo,valor_eur_m2
PT,Portugal,1,Janeiro de 2011,877
PT,Portugal,1,Fevereiro de 2011,887
PT,Portugal,1,Março de 2011,898
PT,Portugal,1,Abril de 2011,900
PT,Portugal,1,Maio de 2011,889
PT,Portugal,1,Junho de 2011,872
PT,Portugal,1,Julho de 2011,859
PT,Portugal,1,Agosto de 2011,852
PT,Portugal,1,Setembro de 2011,844
PT,Portugal,1,Outubro de 2011,833
PT,Portugal,1,Novembro de 2011,829
PT,Portugal,1,Dezembro de 2011,818
PT,Portugal,1,Janeiro de 2012,809
PT,Portugal,1,Fevereiro de 2012,810
PT,Portugal,1,Março de 2012,811
PT,Portugal,1,Abril de 2012,814
PT,Portugal,1,Maio de 2012,800
PT,Portugal,1,Junho de 2012,791
PT,Portugal,1,Julho de 2012,787
PT,Portugal,1,Agosto de 2012,784
PT,Portugal,1,Setembro de 2012,784
PT,Portugal,1,Outubro de 2012,778
PT,Portugal,1,Novembro de 2012,774
PT,Portugal,1,Dezembro de 2012,770
PT,Portugal,1,Janeiro de 2013,759
PT,Portugal,1,Fevereiro de 2013,746
PT,Portugal,1,Março de 2013,742
PT,Portugal,1,Abril de 2013,748
PT,Portugal,1,Maio de 2013,758
PT,Portugal,1,Junho de 2013,764
PT,Portugal,1,Julho de 2013,759
PT,Portugal,1,Agosto de 2013,761
PT,Portugal,1,Setembro de 2013,763
PT,Portugal,1,Outubro de 2013,765
PT,Portugal,1,Novembro de 2013,762
PT,Portugal,1,Dezembro de 2013,763
PT,Portugal,1,Janeiro de 2014,760
PT,Portugal,1,Fevereiro de 2014,752
PT,Portugal,1,Março de 2014,739
PT,Portugal,1,Abril de 2014,736
1,Continente,2,Setembro de 2017,881
1,Continente,2,Outubro de 2017,886
1,Continente,2,Novembro de 2017,889
1,Continente,2,Dezembro de 2017,893
1,Continente,2,Janeiro de 2018,904
1,Continente,2,Fevereiro de 2018,912
1,Continente,2,Março de 2018,921
1,Continente,2,Abril de 2018,924
1,Continente,2,Maio de 2018,931
1,Continente,2,Junho de 2018,934
1,Continente,2,Julho de 2018,943
1,Continente,2,Agosto de 2018,952
1,Continente,2,Setembro de 2018,960
1,Continente,2,Outubro de 2018,969
1,Continente,2,Novembro de 2018,973
1,Continente,2,Dezembro de 2018,980
1,Continente,2,Janeiro de 2019,986
1,Continente,2,Fevereiro de 2019,1000
1,Continente,2,Março de 2019,1009
1,Continente,2,Abril de 2019,1018
1,Continente,2,Maio de 2019,1028
1,Continente,2,Junho de 2019,1034
1,Continente,2,Julho de 2019,1049
1,Continente,2,Agosto de 2019,1058
1,Continente,2,Setembro de 2019,1070
1,Continente,2,Outubro de 2019,1071
1,Continente,2,Novembro de 2019,1079
1,Continente,2,Dezembro de 2019,1095
1,Continente,2,Janeiro de 2020,1109
1,Continente,2,Fevereiro de 2020,1117
1,Continente,2,Março de 2020,1116
1,Continente,2,Abril de 2020,1116
1,Continente,2,Maio de 2020,1117
1,Continente,2,Junho de 2020,1123
1,Continente,2,Julho de 2020,1133
1,Continente,2,Agosto de 2020,1135
1,Continente,2,Setembro de 2020,1134
1,Continente,2,Outubro de 2020,1136
1,Continente,2,Novembro de 2020,1150
1,Continente,2,Dezembro de 2020,1162
PT,Portugal,1,Setembro de 2017,881
PT,Portugal,1,Outubro de 2017,886
PT,Portugal,1,Novembro de 2017,889
PT,Portugal,1,Dezembro de 2017,891
PT,Portugal,1,Janeiro de 2018,902
PT,Portugal,1,Fevereiro de 2018,911
PT,Portugal,1,Março de 2018,920
PT,Portugal,1,Abril de 2018,924
PT,Portugal,1,Maio de 2018,929
PT,Portugal,1,Junho de 2018,932
PT,Portugal,1,Julho de 2018,941
PT,Portugal,1,Agosto de 2018,951
PT,Portugal,1,Setembro de 2018,959
PT,Portugal,1,Outubro de 2018,967
PT,Portugal,1,Novembro de 2018,968
PT,Portugal,1,Dezembro de 2018,977
PT,Portugal,1,Janeiro de 2019,983
PT,Portugal,1,Fevereiro de 2019,1000
PT,Portugal,1,Março de 2019,1006
PT,Portugal,1,Abril de 2019,1015
PT,Portugal,1,Maio de 2019,1023
PT,Portugal,1,Junho de 2019,1030
PT,Portugal,1,Julho de 2019,1044
PT,Portugal,1,Agosto de 2019,1054
PT,Portugal,1,Setembro de 2019,1066
PT,Portugal,1,Outubro de 2019,1069
PT,Portugal,1,Novembro de 2019,1076
PT,Portugal,1,Dezembro de 2019,1091
PT,Portugal,1,Janeiro de 2020,1103
PT,Portugal,1,Fevereiro de 2020,1111
PT,Portugal,1,Março de 2020,1110
PT,Portugal,1,Abril de 2020,1111
PT,Portugal,1,Maio de 2020,1114
PT,Portugal,1,Junho de 2020,1119
PT,Portugal,1,Julho de 2020,1127
PT,Portugal,1,Agosto de 2020,1128
PT,Portugal,1,Setembro de 2020,1128
PT,Portugal,1,Outubro de 2020,1131
PT,Portugal,1,Novembro de 2020,1144
PT,Portugal,1,Dezembro de 2020,1156
11,Norte,3,Setembro de 2017,765
11,Norte,3,Outubro de 2017,771
11,Norte,3,Novembro de 2017,774
11,Norte,3,Dezembro de 2017,782
11,Norte,3,Janeiro de 2018,792
11,Norte,3,Fevereiro de 2018,796
11,Norte,3,Março de 2018,802
11,Norte,3,Abril de 2018,801
11,Norte,3,Maio de 2018,808
11,Norte,3,Junho de 2018,814
11,Norte,3,Julho de 2018,827
11,Norte,3,Agosto de 2018,833
11,Norte,3,Setembro de 2018,840
11,Norte,3,Outubro de 2018,840
11,Norte,3,Novembro de 2018,840
11,Norte,3,Dezembro de 2018,847
11,Norte,3,Janeiro de 2019,851
11,Norte,3,Fevereiro de 2019,864
11,Norte,3,Março de 2019,873
11,Norte,3,Abril de 2019,882
11,Norte,3,Maio de 2019,891
11,Norte,3,Junho de 2019,895
11,Norte,3,Julho de 2019,902
11,Norte,3,Agosto de 2019,911
11,Norte,3,Setembro de 2019,924
11,Norte,3,Outubro de 2019,928
11,Norte,3,Novembro de 2019,933
11,Norte,3,Dezembro de 2019,940
11,Norte,3,Janeiro de 2020,955
11,Norte,3,Fevereiro de 2020,962
11,Norte,3,Março de 2020,960
11,Norte,3,Abril de 2020,963
11,Norte,3,Maio de 2020,972
11,Norte,3,Junho de 2020,991
11,Norte,3,Julho de 2020,996
11,Norte,3,Agosto de 2020,1000
11,Norte,3,Setembro de 2020,992
11,Norte,3,Outubro de 2020,993
11,Norte,3,Novembro de 2020,994
11,Norte,3,Dezembro de 2020,1000
11,Norte,3,Janeiro de 2021,1009
11,Norte,3,Fevereiro de 2021,1024
11,Norte,3,Março de 2021,1033
11,Norte,3,Abril de 2021,1039
11,Norte,3,Maio de 2021,1046
11,Norte,3,Junho de 2021,1043
11,Norte,3,Julho de 2021,1051
11,Norte,3,Agosto de 2021,1050
11,Norte,3,Setembro de 2021,1068
11,Norte,3,Outubro de 2021,1084
11,Norte,3,Novembro de 2021,1095
11,Norte,3,Dezembro de 2021,1102
11,Norte,3,Janeiro de 2022,1108
11,Norte,3,Fevereiro de 2022,1125
11,Norte,3,Março de 2022,1138
11,Norte,3,Abril de 2022,1156
