geo_cod,geo_dsg,geo_nivel,periodo,valor_eur_m2
PT,Portugal,1,4.º Trimestre de 2019,1094
PT,Portugal,1,1.º Trimestre de 2020,1127
PT,Portugal,1,2.º Trimestre de 2020,1146
PT,Portugal,1,3.º Trimestre de 2020,1167
PT,Portugal,1,4.º Trimestre de 2020,1190
PT,Portugal,1,1.º Trimestre de 2021,1197
PT,Portugal,1,2.º Trimestre de 2021,1218
PT,Portugal,1,3.º Trimestre de 2021,1251
PT,Portugal,1,4.º Trimestre de 2021,1297
PT,Portugal,1,1.º Trimestre de 2022,1346
PT,Portugal,1,2.º Trimestre de 2022,1402
PT,Portugal,1,3.º Trimestre de 2022,1446
PT,Portugal,1,4.º Trimestre de 2022,1484
PT,Portugal,1,1.º Trimestre de 2023,1509
PT,Portugal,1,2.º Trimestre de 2023,1541
PT,Portugal,1,3.º Trimestre de 2023,1579
PT,Portugal,1,4.º Trimestre de 2023,1611
PT,Portugal,1,1.º Trimestre de 2024,1633
PT,Portugal,1,2.º Trimestre de 2024,1661
PT,Portugal,1,3.º Trimestre de 2024,1709
PT,Portugal,1,4.º Trimestre de 2024,1777
PT,Portugal,1,1.º Trimestre de 2025,1845
PT,Portugal,1,2.º Trimestre de 2025,1923
PT,Portugal,1,3.º Trimestre de 2025,1991
PT,Portugal,1,4.º Trimestre de 2025,2076
PT,Portugal,1,1.º Trimestre de 2026,2168
1,Continente,2,4.º Trimestre de 2019,1096
1,Continente,2,1.º Trimestre de 2020,1131
1,Continente,2,2.º Trimestre de 2020,1150
1,Continente,2,3.º Trimestre de 2020,1169
1,Continente,2,4.º Trimestre de 2020,1195
1,Continente,2,1.º Trimestre de 2021,1200
1,Continente,2,2.º Trimestre de 2021,1222
1,Continente,2,3.º Trimestre de 2021,1257
1,Continente,2,4.º Trimestre de 2021,1301
1,Continente,2,1.º Trimestre de 2022,1351
1,Continente,2,2.º Trimestre de 2022,1408
1,Continente,2,3.º Trimestre de 2022,1453
1,Continente,2,4.º Trimestre de 2022,1492
1,Continente,2,1.º Trimestre de 2023,1519
1,Continente,2,2.º Trimestre de 2023,1550
1,Continente,2,3.º Trimestre de 2023,1587
1,Continente,2,4.º Trimestre de 2023,1618
1,Continente,2,1.º Trimestre de 2024,1638
1,Continente,2,2.º Trimestre de 2024,1667
1,Continente,2,3.º Trimestre de 2024,1714
1,Continente,2,4.º Trimestre de 2024,1778
1,Continente,2,1.º Trimestre de 2025,1846
